epoch,train_loss,validation_loss
1,0.39529214934869245,0.2116951197385788
2,0.13839856828704025,0.07775934040546417
3,0.07638025848251401,0.05763143673539162
4,0.061549174627571396,0.05250381678342819
5,0.05623969119606596,0.04890842363238335
6,0.05267518013715744,0.04689241945743561
7,0.05050200099746386,0.04424020275473595
8,0.047512668213157944,0.042408742010593414
9,0.04496810991655697,0.04071811959147453
10,0.043383257520018204,0.03982942923903465
11,0.040845910482334366,0.03711507469415665
12,0.03987332523772211,0.03621944040060043
13,0.03762517485654715,0.03534803166985512
14,0.03583270548419519,0.033973611891269684
15,0.03502270782535726,0.03236742317676544
