epoch,train_loss,validation_loss
1,0.11520093736069942,0.0573260560631752
2,0.05602952685446767,0.052910372614860535
3,0.05264241723289267,0.051031723618507385
4,0.051206464634129874,0.049934130162000656
5,0.05020731994718836,0.04935597628355026
6,0.049540946989902974,0.04891485720872879
7,0.04904801246018438,0.0486283004283905
8,0.048657126746505325,0.048078060150146484
9,0.048243515934163365,0.04790700599551201
10,0.047989880154181645,0.047645073384046555
11,0.04782866342374456,0.04762599989771843
12,0.04760155336637246,0.04721715673804283
13,0.0474136317943969,0.04730604961514473
14,0.04719433105654187,0.047007836401462555
15,0.04706413255274644,0.04701261594891548
