source_file,duplicate_rows
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-ICMP_Flood/DDoS-ICMP_Flood22.pcap.csv,139435.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-SynonymousIP_Flood/DDoS-SynonymousIP_Flood9.pcap.csv,132498.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood11.pcap.csv,122466.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood6.pcap.csv,129341.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DoS-TCP_Flood/DoS-TCP_Flood9.pcap.csv,96954.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/Mirai-greeth_flood/Mirai-greeth_flood16.pcap.csv,152.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-RSTFINFLOOD/DDoS-RSTFINFlood12.pcap.csv,141887.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-SYN_Flood/DDoS-SYN_Flood1.pcap.csv,98819.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-SYN_Flood/DDoS-SYN_Flood7.pcap.csv,114735.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DoS-SYN_Flood/DoS-SYN_Flood6.pcap.csv,105037.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DoS-UDP_Flood/DoS-UDP_Flood9.pcap.csv,21853.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-PSHACK_FLOOD/DDoS-PSHACK_Flood13.pcap.csv,132755.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-UDP_Flood/DDoS-UDP_Flood6.pcap.csv,89504.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DoS-TCP_Flood/DoS-TCP_Flood.pcap.csv,130120.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DoS-TCP_Flood/DoS-TCP_Flood6.pcap.csv,124705.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-ICMP_Flood/DDoS-ICMP_Flood16.pcap.csv,123259.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood5.pcap.csv,88965.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-PSHACK_FLOOD/DDoS-PSHACK_Flood1.pcap.csv,129232.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-PSHACK_FLOOD/DDoS-PSHACK_Flood9.pcap.csv,118411.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-UDP_Flood/DDoS-UDP_Flood18.pcap.csv,136793.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DDoS-ICMP_Flood/DDoS-ICMP_Flood6.pcap.csv,155798.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/DNS_Spoofing/DNS_Spoofing.pcap.csv,4687.0
/workspace/data/cic_iot_2023/raw/CIC_IOT_Dataset2023/CSV/Mirai-udpplain/Mirai-udpplain13.pcap.csv,418.0
