relative_path,file_name,extension,size_bytes,size_mib,size_gib,sha256,file_type,rows,columns_count,columns,encoding,inspection_seconds
Backdoor_Malware/Backdoor_Malware.pcap.csv,Backdoor_Malware.pcap.csv,.csv,664577,0.63379,0.000619,b076424c816ecf99f40d466f95a8ea4336c5077d4afdc05220fa26d528f4a06f,CSV,3218.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,0.223727
Benign_Final/BenignTraffic.pcap.csv,BenignTraffic.pcap.csv,.csv,75100977,71.621873,0.069943,f0ee40b64ac395ecf3ce7cff7580343718554985a68ec6f07d7276d8f31b9ee6,CSV,362361.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,2.808078
Benign_Final/BenignTraffic1.pcap.csv,BenignTraffic1.pcap.csv,.csv,61260813,58.422864,0.057054,d185c67268fdde5d091c07361001926bdac49e5774824fd5920663721814070e,CSV,295585.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,2.270033
Benign_Final/BenignTraffic2.pcap.csv,BenignTraffic2.pcap.csv,.csv,64200745,61.226602,0.059792,71540cd0e9c65d78560003641a00438f9216693af0b7e6cf2b2e44b7234db6ac,CSV,310413.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,2.265721
Benign_Final/BenignTraffic3.pcap.csv,BenignTraffic3.pcap.csv,.csv,26851364,25.607456,0.025007,861063adfc622eed3e3d84b17a2a9e19f89800a56ef575dc26fc0bd7e05a5d8e,CSV,129832.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,1.019945
BrowserHijacking/BrowserHijacking.pcap.csv,BrowserHijacking.pcap.csv,.csv,1207500,1.151562,0.001125,cb8ae8b62bfbb9594ca54a042d80ebfa194526279c1e7c60b3fc9d587264e40b,CSV,5859.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,0.207404
CommandInjection/CommandInjection.pcap.csv,CommandInjection.pcap.csv,.csv,1107913,1.056588,0.001032,8d2cacd92968707719bdc67fea854558e45f083fb315df6c52b637db18fd4aeb,CSV,5409.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,0.213073
DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation.pcap.csv,DDoS-ACK_Fragmentation.pcap.csv,.csv,5530254,5.274061,0.00515,60ade5c90233e02d09012cef3a84a8da69d9e8d5cf4f544e4a09c8ba0647cecc,CSV,25090.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,0.387047
DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation1.pcap.csv,DDoS-ACK_Fragmentation1.pcap.csv,.csv,4944205,4.715161,0.004605,4f98d902c998c30135fad1afef74743c4cfc5b6eec506c2e2303fe4d0148d8bf,CSV,22416.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,0.31537
DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation10.pcap.csv,DDoS-ACK_Fragmentation10.pcap.csv,.csv,5015945,4.783578,0.004671,0b3152338a9987e4b5230d3b11f80b983c42e24defb0aca4b52326b4d314e989,CSV,22750.0,39.0,"[""Header_Length"", ""Protocol Type"", ""Time_To_Live"", ""Rate"", ""fin_flag_number"", ""syn_flag_number"", ""rst_flag_number"", ""psh_flag_number"", ""ack_flag_number"", ""ece_flag_number"", ""cwr_flag_number"", ""ack_count"", ""syn_count"", ""fin_count"", ""rst_count"", ""HTTP"", ""HTTPS"", ""DNS"", ""Telnet"", ""SMTP"", ""SSH"", ""IRC"", ""TCP"", ""UDP"", ""DHCP"", ""ARP"", ""ICMP"", ""IGMP"", ""IPv"", ""LLC"", ""Tot sum"", ""Min"", ""Max"", ""AVG"", ""Std"", ""Tot size"", ""IAT"", ""Number"", ""Variance""]",utf-8,0.267497
